City,State,CityManuEmp1899,CityManuEmp1904,CityManuEmp1909,CityManuEmp1914,CityManuEmp1919,CityManuEmp1921,CityManuEmp1923,CityManuEmp1925,CityManuEmp1927
Birmingham,Alabama,3490,3987,8999,10863,17264,8778,14817,16054,16611
Los Angeles,California,5173,10424,17327,23744,47118,41713,56261,58026,60536
Oakland,California,2476,3353,6905,7706,23347,16187,15027,15537,15930
San Francisco,California,32555,38429,28244,31758,48550,37353,43638,41720,41909
Denver,Colorado,8500,9672,12058,11062,16635,13348,15629,15077,15054
Bridgeport,Connecticut,17038,19492,25775,30042,42862,25892,33207,28703,28415
Hartford,Connecticut,10677,11221,14627,17137,26264,18952,23611,21758,22038
New Haven,Connecticut,17594,21437,23547,24993,30874,21297,26108,22863,25096
Wilmington,Delaware,14498,13508,14663,15048,21420,11093,14993,13649,13993
Washington,District of Columbia,6155,6299,7707,8877,10482,8640,9823,9753,9519
Atlanta,Georgia,7966,11891,12302,12585,15739,12660,16005,18208,18583
Chicago,Illinois,221191,241984,293977,313710,403942,311215,385685,370041,372061
Indianapolis,Indiana,20985,26725,31815,30971,49977,33560,45818,41805,42136
Des Moines,Iowa,3479,4155,5383,5306,7085,6833,9558,8007,7253
Kansas City,Kansas,9483,10529,12294,13095,22839,13999,16264,14137,13509
Louisville,Kentucky,23062,24985,27023,25930,29902,28815,37620,87672,84300
New Orleans,Louisiana,16185,17468,17186,17348,26641,20288,21575,22289,22289
Baltimore,Maryland,66571,65050,71444,73769,97814,76442,90149,85771,84005
Boston,Massachusetts,52853,59160,69637,78894,88759,70493,80773,77334,77232
Cambridge,Massachusetts,11070,14586,15260,16749,22550,17073,24610,21945,20929
Fall River,Massachusetts,30646,26836,37139,36834,37015,35131,37018,30596,31480
Lowell,Massachusetts,29254,29303,32575,29904,30111,24721,27155,21570,18787
New Bedford,Massachusetts,15263,17855,26566,33343,41630,32766,37926,35696,35084
Springfield,Massachusetts,8152,10523,11855,14240,18429,14688,19737,17693,16782
Worcester,Massachusetts,22593,22796,28221,29452,38678,26698,36424,31142,30294
Detroit,Michigan,38373,48483,81011,99603,167016,95376,170049,172742,189649
Grand Rapids,Michigan,12929,15514,17590,17427,23548,19353,24033,25479,24449
Minneapolis,Minnesota,19620,21671,26962,28295,38154,28810,33462,31730,34005
Saint Paul,Minnesota,13019,14363,19339,19483,22649,18059,22841,23604,21826
Kansas City,Missouri,9699,11039,14643,16252,22137,19722,22956,25576,25486
St. Louis,Missouri,64832,82698,87371,85058,107919,88610,113253,105022,109428
Omaha,Nebraska,5276,5822,8023,8922,21304,16061,18142,15408,14780
Camden,New Jersey,7742,12661,16527,22541,40906,33192,27842,22703,20712
Jersey City,New Jersey,17391,20353,25454,31021,36981,30026,33264,30607,24032
Newark,New Jersey,42878,50697,59955,63084,86707,57798,70066,66854,62727
Paterson,New Jersey,28542,28509,32004,30925,37217,31345,33247,33779,32354
Trenton,New Jersey,13138,14130,18543,19828,24547,18586,24045,22322,19965
Albany,New York,8106,8976,9861,9371,11216,8337,10542,9609,9378
Buffalo,New York,34275,43567,51412,54416,75899,54565,70092,66016,63015
New York,New York,388586,464716,554002,585279,638775,536665,579005,538845,552507
Rochester,New York,28049,31779,39108,44113,63792,54168,58649,52580,56685
Syracuse,New York,11809,14554,18148,17551,28153,18520,23921,23086,22562
Yonkers,New York,7555,9779,12711,12650,11932,11759,14005,12662,13414
Akron,Ohio,8259,9626,15831,24080,65064,30173,44903,52640,53008
Cincinnati,Ohio,54942,58584,60192,59861,69680,57263,65695,63716,62493
Cleveland,Ohio,55341,64041,84728,103317,157730,103396,141648,132852,131146
Columbus,Ohio,13787,14350,16428,17236,26751,21202,27618,24500,24228
Dayton,Ohio,14408,17093,21549,24061,31131,20348,29665,29341,30218
Toledo,Ohio,12747,15697,18878,27076,42090,23077,41613,37209,38727
Youngstown,Ohio,8679,8095,10498,15861,19414,13169,20516,19215,18566
Portland,Oregon,5380,8171,12214,11273,26813,15436,21534,20077,20818
Philadelphia,Pennsylvania,214775,228899,251884,251286,281105,226042,274319,246680,243008
Pittsburgh,Pennsylvania,71794,71618,67474,69620,83290,57301,76665,65414,61892
Reading,Pennsylvania,16892,18053,24145,24131,29122,26668,28712,27247,26383
Scranton,Pennsylvania,11139,10912,12851,12559,14467,12789,13093,12578,11115
Providence,Rhode Island,38368,39804,46381,44176,53372,38568,45495,41207,42735
Memphis,Tennessee,6626,7374,7927,8389,11963,8208,10508,9988,9435
Nashville,Tennessee,6726,8032,9721,8573,10666,11120,11685,10549,12975
Dallas,Texas,2842,3445,4882,5284,7913,6594,8143,9412,9459
Fort Worth,Texas,943,1423,2059,2308,4452,3201,6249,6968,7419
Houston,Texas,3188,5056,5338,5607,9860,7848,9242,9007,12044
San Antonio,Texas,2683,2457,3105,4083,6614,4833,5581,5440,6363
Salt Lake City,Utah,2154,2776,4287,4931,6362,4741,6224,4898,4709
Norfolk,Virginia,2638,2935,4749,5263,5119,4678,5083,5429,4556
Richmond,Virginia,13715,12444,14849,17282,21759,14497,18833,18137,19351
Seattle,Washington,4440,6390,11331,12429,40843,13699,17842,19220,20421
Spokane,Washington,1060,2428,3989,3020,4752,4191,4580,6098,5678
Milwaukee,Wisconsin,41220,43366,59502,61839,84222,61036,74847,77432,86550
