City,State,CityManuOutput1899,CityManuOutput1904,CityManuOutput1909,CityManuOutput1914,CityManuOutput1919,CityManuOutput1921,CityManuOutput1923,CityManuOutput1925,CityManuOutput1927
Birmingham,Alabama,8599,7593,24128,43144,127214,45182,89423,100204,109039
Los Angeles,California,15134,34814,68586,103458,278184,301464,417654,531827,610160
Oakland,California,5368,9015,22343,28522,134756,106425,122492,144841,159376
San Francisco,California,107024,137788,133041,162300,417321,339626,416318,426810,429728
Denver,Colorado,37906,36660,51538,46982,125411,98364,120790,125763,116748
Bridgeport,Connecticut,33536,44586,65609,85126,208000,108400,148856,149008,158697
Hartford,Connecticut,23829,25974,40680,42831,118003,77914,101894,109678,111689
New Haven,Connecticut,34900,39666,51071,57752,125456,84559,113925,116506,124034
Wilmington,Delaware,30587,30285,38069,39403,121040,54539,80016,76502,81766
Washington,District of Columbia,16426,18359,25289,28987,68827,67640,73108,83577,90396
Atlanta,Georgia,14419,25746,33038,41279,113902,79815,122284,131237,115830
Chicago,Illinois,797879,955036,1281171,1483498,3657424,2485819,3323341,3439163,3478754
Indianapolis,Indiana,59322,82228,126522,139700,398667,262286,346858,344025,345815
Des Moines,Iowa,8397,15085,23585,23747,59831,72288,102919,83624,76108
Kansas City,Kansas,80023,96473,164081,159700,468686,235562,262447,288545,296646
Louisville,Kentucky,66110,83204,101284,105223,204566,176023,240538,263693,242098
New Orleans,Louisiana,57446,81411,78794,69814,182799,117456,135184,155166,151593
Baltimore,Maryland,135108,150171,186978,215172,677879,469508,654766,678384,692575
Boston,Massachusetts,162765,184351,237457,284802,618922,483007,581128,585992,618692
Cambridge,Massachusetts,29092,42407,44227,57484,127865,117955,172808,105833,155477
Fall River,Massachusetts,39103,43473,64146,64663,163246,133408,172396,134495,120324
Lowell,Massachusetts,41203,46879,60271,56049,137802,80646,101846,81130,69171
New Bedford,Massachusetts,23397,29469,53283,65575,210773,110014,150097,143551,125542
Springfield,Massachusetts,18155,25860,31773,44429,98333,82786,106820,109516,103922
Worcester,Massachusetts,46793,52145,77148,82829,208706,138707,212505,210461,193502
Detroit,Michigan,88366,128247,252992,400348,1234520,764506,1438247,1599340,1736933
Grand Rapids,Michigan,22229,30690,42231,40792,109135,101671,130278,145700,135254
Minneapolis,Minnesota,94408,121163,165405,187854,491383,348128,338329,338824,348417
Saint Paul,Minnesota,30056,38319,58990,68682,149638,115012,150355,194013,160331
Kansas City,Missouri,23588,35573,54704,60953,192815,155812,196674,288545,221346
St. Louis,Missouri,193733,267307,328495,360480,871700,665519,914277,874557,937416
Omaha,Nebraska,38074,54004,60854,66438,452237,244342,315971,339904,307472
Camden,New Jersey,17970,33587,49138,71824,218165,186422,180766,164051,196860
Jersey City,New Jersey,72390,75741,128775,164528,374183,289796,313999,340735,270842
Newark,New Jersey,112728,150055,202511,210601,577609,336809,448172,490047,482739
Paterson,New Jersey,48502,54673,69584,78429,216659,161146,194857,209977,207470
Trenton,New Jersey,28458,32360,49009,54822,122478,89284,116623,126516,107417
Albany,New York,17269,20209,22826,25211,45455,41172,53028,52178,58185
Buffalo,New York,105627,147378,218804,247516,634410,431383,590692,675436,649302
New York,New York,1172870,1526523,2029693,2292832,5260708,4328187,5349077,5324414,5722971
Rochester,New York,59669,81109,112676,140697,351416,291117,337362,337548,368111
Syracuse,New York,26549,34687,49435,52164,150091,109062,149145,154629,147903
Yonkers,New York,17304,33549,59334,67223,140017,107183,144896,120467,107998
Akron,Ohio,22016,33559,73158,122292,558962,305773,406837,565301,567482
Cincinnati,Ohio,141678,166059,194516,210860,500041,404105,434176,457539,437954
Cleveland,Ohio,139356,171924,271961,352418,1091577,683803,1096503,1094780,1040754
Columbus,Ohio,34748,39530,49032,57608,184022,146132,186843,178280,169068
Dayton,Ohio,31015,39597,60378,71071,174991,124797,187934,200104,235160
Toledo,Ohio,31976,44501,61230,115049,293521,191697,360375,373120,380115
Youngstown,Ohio,33908,46853,81271,92111,241458,138972,272184,236180,207379
Portland,Oregon,16904,28651,46861,55697,196380,105015,154415,150521,146974
Philadelphia,Pennsylvania,519982,591388,746076,784500,1996481,1537328,1998750,1937415,1801502
Pittsburgh,Pennsylvania,218198,211259,243454,246694,614727,393431,610189,518984,508520
Reading,Pennsylvania,32682,30491,51135,53232,141561,119780,134502,132405,121095
Scranton,Pennsylvania,24742,20453,26365,28722,54630,52833,64160,61282,55704
Providence,Rhode Island,78657,91981,120241,115335,267629,170117,215654,212118,214017
Memphis,Tennessee,14233,20043,30242,39133,117718,71111,95537,108887,91670
Nashville,Tennessee,15301,21567,29650,33276,71108,72338,83042,79331,94435
Dallas,Texas,9488,15628,26959,31065,93650,70699,92189,112158,98069
Fort Worth,Texas,3488,5668,8661,9974,38160,25102,75163,100320,109637
Houston,Texas,7492,13564,23015,25868,86874,73745,89134,87445,102154
San Antonio,Texas,5989,7402,13435,17849,35456,28662,34756,38534,45034
Salt Lake City,Utah,4279,7544,13351,16663,33357,31130,47572,32589,35115
Norfolk,Virginia,4692,5739,10341,13710,29588,23852,29232,35455,29127
Richmond,Virginia,24669,27745,47358,62491,156724,85134,146413,157450,220743
Seattle,Washington,15323,25406,50569,64475,274431,115047,155781,150666,167079
Spokane,Washington,3756,8831,18880,16636,40149,32634,40562,43156,46176
Milwaukee,Wisconsin,110854,137995,208324,223555,576161,417027,518548,541912,627416
