State,personalIncomeLindert1910
Alabama,137
Arizona,
Arkansas,139
California,
Colorado,
Connecticut,318
Delaware,252
Florida,217
Georgia,154
Idaho,
Illinois,382
Indiana,262
Iowa,287
Kansas,276
Kentucky,190
Louisiana,173
Maine,251
Maryland,249
Massachusetts,358
Michigan,279
Minnesota,277
Mississippi,123
Missouri,278
Montana,
Nebraska,296
Nevada,
New Hampshire,272
New Jersey,335
New Mexico,
New York,396
North Carolina,117
North Dakota,309
Ohio,287
Oklahoma,195
Oregon,
Pennsylvania,282
Rhode Island,325
South Carolina,128
South Dakota,280
Tennessee,157
Texas,192
Utah,
Vermont,264
Virginia,166
Washington,
West Virginia,176
Wisconsin,251
Wyoming,
District of Columbia,
USA,277
