State,totalPop,urbanPopAbove2500,urbanPopAbove25000,ruralPop
Alabama,2138093,370431,222342,1767662
Alaska,64356,6141,0,64356
Arizona,204354,63260,0,141094
Arkansas,1574449,202681,45941,1371768
California,2377549,1468419,1070229,907810
Colorado,799024,402192,284206,394184
Connecticut,1114756,731797,504034,114917
Delaware,202322,97085,87411,105237
District of Columbia,331069,331069,331069,0
Florida,752619,219080,95481,533539
Georgia,2609121,538650,301608,2070471
Hawaii Territory,191909,58928,52183,132981
Idaho,325594,69898,0,255696
Illinois,5638591,3479935,2619678,2161662
Indiana,2700876,1143835,479071,1557041
Iowa,2224771,680054,330091,1544717
Kansas,1690949,492312,178465,1197159
Kentucky,2289905,555442,342606,1734463
Louisiana,1656388,496516,367090,1159872
Maine,742371,262248,84818,360928
Maryland,1295346,658192,558485,637154
Massachusetts,3366416,2995739,2155482,241049
Michigan,2810173,1327044,839929,1483129
Minnesota,2075708,850294,594618,1225414
Mississippi,1797114,207311,0,1589803
Missouri,3293335,1393705,1080087,1894518
Montana,376053,133420,39165,242633
Nebraska,1192214,310852,194328,881362
Nevada,81875,13367,0,68508
New Hampshire,430572,223152,96068,175473
New Jersey,2537167,1938612,1363927,629957
New Mexico,327301,46571,0,280730
New York,9113614,7188131,6331571,1928120
North Carolina,2206287,318474,59762,1887813
North Dakota,577056,63236,0,513820
Ohio,4767121,2665143,1784210,2101978
Oklahoma,1657155,318975,89483,1337000
Oregon,672765,307060,207214,365705
Pennsylvania,7665111,4630669,3015161,3034442
Rhode Island,542610,493938,367851,17956
South Carolina,1515400,224832,85152,1290568
South Dakota,583888,76469,0,507215
Tennessee,2184789,441045,322419,1743744
Texas,3896542,938104,473375,2958438
Utah,373351,172934,118357,200417
Vermont,355956,98917,0,187013
Virginia,2061612,476529,292638,1585083
Washington,1141990,605530,425339,536460
West Virginia,1221119,228242,72802,992877
Wisconsin,2333860,1004320,592887,1329540
Wyoming,145965,43221,0,102744
