State,Year,wageEarners,valueProduct
Maine,1923,83328,402650
Maine,1921,75710,339562
Maine,1919,88051,456822
Maine,1914,82149,200450
New Hampshire,1923,75314,333125
New Hampshire,1921,67110,246346
New Hampshire,1919,83074,407205
New Hampshire,1914,78093,182844
Vermont,1923,30783,149952
Vermont,1921,25767,113904
Vermont,1919,33491,168108
Vermont,1914,32704,76991
Massachusetts,1923,667172,3570543
Massachusetts,1921,579071,2849414
Massachusetts,1919,713830,4011182
Massachusetts,1914,606698,1641373
Rhode Island,1923,134667,675425
Rhode Island,1921,112745,517118
Rhode Island,1919,130665,747323
Rhode Island,1914,113425,279546
Connecticut,1923,203232,1288281
Connecticut,1921,210990,836164
Connecticut,1919,202072,1392432
Connecticut,1914,220204,545472
New York,1923,1150001,8960638
New York,1921,1000414,6973500
New York,1919,1228130,8867005
New York,1914,1057857,3814001
New Jersey,1923,448069,3396628
New Jersey,1921,381773,2556143
New Jersey,1919,508086,3672065
New Jersey,1914,373606,1406633
Pennsylvania,1923,1095057,7381688
Pennsylvania,1921,803917,5050000
Pennsylvania,1919,1135837,7315703
Pennsylvania,1914,924478,2832340
Ohio,1923,699132,5146516
Ohio,1921,494288,3300003
Ohio,1919,730733,5100309
Ohio,1914,510435,1782808
Indiana,1923,291131,2031676
Indiana,1921,206534,1377772
Indiana,1919,277580,1898753
Indiana,1914,197503,730796
Illinois,1923,645027,5041113
Illinois,1921,513876,3705380
Illinois,1919,653114,5425245
Illinois,1914,506943,2247323
Michigan,1923,503308,3882192
Michigan,1921,304471,2206230
Michigan,1919,471242,3466188
Michigan,1914,271090,1086162
Wisconsin,1923,247851,1720198
Wisconsin,1921,191770,1214861
Wisconsin,1919,263949,1840984
Wisconsin,1914,194310,695172
Minnesota,1923,103964,962776
Minnesota,1921,85804,850447
Minnesota,1919,115623,1218130
Minnesota,1914,92834,493354
Iowa,1923,77847,690032
Iowa,1921,62274,521446
Iowa,1919,80552,745473
Iowa,1914,63113,310750
